"","Tool","Model","N","mean","sd"
"1","EMFSolutionYAMTL","I10O2Seed68",9,329.261211111111,130.923899924168
"2","EMFSolutionYAMTL","I12O2Seed7634",9,515.369877777778,311.993146177491
"3","EMFSolutionYAMTL","I14O4Seed7634",9,1176.11586666667,818.558336466246
"4","EMFSolutionYAMTL","I15O5Seed282316",9,2389.1598,1718.26421396019
"5","EMFSolutionYAMTL","I4O2Seed42",12,153.785658333333,73.2228980437312
"6","EMFSolutionYAMTL","I8O2Seed68",12,231.605816666667,53.229995851482
"7","EMFSolutionYAMTL","I8O4Seed68",12,220.709716666667,43.6678870623552
"8","Fulib","I10O2Seed68",12,73.9673083333333,23.1676793794701
"9","Fulib","I12O2Seed7634",12,119.168791666667,73.5401567151822
"10","Fulib","I14O4Seed7634",12,318.236225,320.580538744706
"11","Fulib","I15O5Seed282316",12,593.788433333333,669.805607243671
"12","Fulib","I4O2Seed42",12,35.924125,16.8702986355054
"13","Fulib","I8O2Seed68",12,52.4720583333333,6.29488701125522
"14","Fulib","I8O4Seed68",12,52.1885083333333,5.44854535357138
